#{"t_start": 1780253741.6994593, "env_id": "None"}
r,l,t
66.78519,169,42.285882
-38.568504,241,42.294988
9.728645,149,42.295067
-34.948975,218,42.297252
-40.672028,179,42.303239
-34.589893,81,42.317554
27.043728,106,42.391388
-83.27949,285,42.399463
-18.885723,142,42.492887
-12.354294,152,42.500839
-96.98589,470,42.500898
59.14122,189,42.508939
94.53559,123,42.509006
-2.0236168,120,42.509018
-35.242176,148,42.578921
22.921364,200,42.615909
35.435013,155,42.621115
-33.051105,185,42.653459
13.225201,74,42.663275
32.318764,140,42.677577
-35.364685,197,42.683841
29.64293,94,42.705999
53.235268,113,42.74175
-28.547901,182,42.75873
-35.25691,142,42.791987
-25.036331,118,42.813177
-5.2741814,164,42.834401
26.522041,87,42.834496
-65.79556,279,42.841572
65.19267,97,42.869575
-0.1649704,186,42.869658
32.23141,134,42.946747
30.15533,110,42.969199
-12.641544,190,42.991142
-61.6358,137,43.009815
57.01663,124,43.037707
45.4544,185,43.072177
13.905651,118,43.072251
-8.517235,148,43.13911
-30.151283,151,43.139206
26.580227,88,43.177207
11.803963,263,43.183841
205.26923,607,43.20582
-59.75166,116,43.219987
203.9095,579,43.249181
12.475464,223,43.325561
-29.207901,139,43.325663
-62.496006,361,43.341529
-25.813068,170,43.363993
-76.34377,156,43.394418
-25.376495,113,43.408476
42.044174,105,43.447313
-24.106422,159,43.460035
-14.561398,174,43.496168
15.982761,150,43.517951
24.387024,171,43.560052
-10.236771,113,43.566955
-22.19395,238,43.571728
84.64344,119,43.599366
44.84324,126,43.636545
-101.93053,219,43.647634
-22.92931,128,43.689927
-24.779205,110,43.699494
16.435204,176,43.709513
-6.960243,96,43.741855
-12.100342,112,43.756537
34.6624,143,43.796402
7.2425385,103,43.799001
31.306522,136,43.874379
9.665001,142,43.891466
20.578499,116,43.898511
-91.723694,96,43.909722
-41.4829,136,43.95624
226.84836,572,50.028656
0.17622375,127,50.035567
-34.5244,118,50.049339
-98.47719,85,50.056613
-17.503517,148,50.066166
56.565964,107,50.114858
237.37785,597,50.134003
-18.097378,222,50.180627
29.786232,192,50.210055
147.79585,590,50.2154
37.525642,185,50.301018
-11.107288,88,50.306362
-14.28252,142,50.328386
18.749046,217,50.362144
-212.19363,309,50.371496
11.978371,206,50.394332
-45.97834,109,50.445731
-41.176277,196,50.467382
-38.644306,239,50.527588
30.499275,191,50.580208
-61.408882,476,50.603918
-23.993782,233,50.611497
227.64816,618,50.709502
-0.32122803,161,50.787123
-32.92251,135,50.80953
-31.30391,213,50.825632
-127.049644,384,50.860787
-15.692131,275,50.894203
-16.98853,153,50.904825
-199.02457,326,50.967743
40.461807,174,50.974217
-218.24467,382,50.987941
-169.21272,337,51.049985
39.57824,140,51.105108
51.857933,173,51.158794
-178.43065,537,51.183337
48.39676,161,51.216138
-47.086563,82,51.245547
-61.018383,173,51.364685
26.721962,174,51.373832
-78.72319,96,51.400525
-23.627644,96,51.456909
188.23306,575,51.527777
-69.470184,312,51.588649
-84.8495,72,51.667529
170.98033,633,51.701447
29.983627,187,51.753522
-1.9502869,191,51.773932
-36.004913,160,51.787381
218.84094,653,51.820663
-39.005108,142,51.873371
202.14372,564,51.906986
246.83397,613,51.909472
39.408276,125,51.94719
-114.267044,385,52.001891
-122.18851,445,52.027263
87.47113,171,52.099346
153.50111,617,58.129551
235.63776,611,58.186936
169.7521,528,58.28801
111.954605,606,58.30052
-62.264614,296,58.392125
-187.94273,360,58.440938
-12.780483,183,58.461585
-219.86377,324,58.665947
216.2438,608,58.69186
-115.63754,471,58.791879
72.623375,283,58.968597
221.52719,575,59.068796
138.06836,602,59.068891
0.6908417,210,59.072977
158.18776,569,59.091748
-76.59816,340,59.114863
31.193985,177,59.125817
228.57292,593,59.147021
211.89996,601,59.257159
165.94601,580,59.318266
-31.596104,133,59.336026
215.88737,594,59.357062
194.26175,569,59.362023
148.17929,540,59.384036
-101.339325,361,59.400758
216.05109,594,59.513574
61.981842,226,59.584017
-25.983974,241,59.624095
27.984535,214,59.717806
157.5151,659,59.808119
-56.36538,231,59.980029
-21.527634,137,59.983569
-80.89128,62,60.095898
-120.24643,377,60.097761
231.22879,590,60.146004
-21.787811,233,66.00976
259.72824,606,66.045193
159.31024,615,66.061625
204.68373,612,66.129802
178.54077,559,66.233233
227.1318,570,66.249371
137.14743,717,66.277357
171.83546,577,66.2879
0.10858917,236,66.364502
-197.00537,615,66.381052
153.80087,659,66.390809
216.935,612,66.53367
30.822952,168,66.570055
134.26453,627,66.596571
48.493584,198,66.662071
-40.543205,166,66.68087
-70.20998,527,66.901684
31.52887,262,66.921628
13.154152,151,66.924338
-88.79821,65,67.065348
60.577316,191,67.105302
163.99153,621,67.113806
177.5954,558,67.199031
211.66457,589,67.203555
232.8596,574,67.309778
167.40741,642,67.368487
217.01488,577,67.441816
142.24982,546,67.536122
-185.66281,217,67.542359
234.6557,604,67.562937
142.24521,920,67.628409
186.43127,582,67.803933
202.6799,567,67.813727
-40.542137,142,67.865227
250.50444,583,67.958168
-220.36394,397,67.990521
-40.72802,246,74.256227
256.53384,581,74.267781
224.1045,584,74.289559
-93.07494,384,74.361907
228.88976,575,74.519897
168.09137,590,74.544764
219.12762,573,74.649489
258.83804,600,74.656248
-192.24625,211,74.667233
-192.60669,721,74.70322
157.49213,606,74.852628
201.3779,601,74.866695
-65.70126,508,74.899776
-18.031258,188,75.008848
171.90674,574,75.010925
10.485275,201,75.067889
239.95401,582,75.071949
-107.38608,411,75.117045
200.58865,567,75.152815
171.18405,593,75.167775
183.86766,565,75.303429
217.9061,581,75.375733
-29.850422,279,75.391547
54.080338,237,75.558009
20.252625,135,75.694147
220.35144,596,75.721913
196.03612,620,75.749447
240.9633,624,75.911276
255.70668,640,75.960302
248.81712,574,76.052925
252.10428,580,76.114503
185.39557,589,76.271993
195.14374,604,82.151944
239.55186,588,82.169754
220.888,562,82.172519
152.1974,651,82.178629
210.95071,583,82.197548
214.36562,582,82.363582
175.7952,566,82.404857
157.88525,621,82.650316
233.7651,568,82.699392
211.43317,594,82.70744
14.403755,182,82.753516
244.07065,651,82.834931
222.8114,605,82.910695
201.81647,614,82.964226
208.05453,573,82.967174
-254.14146,455,83.093879
148.77487,549,83.131988
124.65533,655,83.1937
202.939,558,83.233493
245.01616,557,83.249557
190.53485,562,83.260243
224.16312,588,83.315964
-78.97143,72,83.448548
222.4347,610,83.532574
-169.13889,305,83.556176
-155.70287,538,83.780033
191.8548,605,83.801803
-85.68927,70,83.905908
269.9751,632,83.905984
7.7618637,222,83.938383
171.77588,587,83.947102
238.82805,586,84.018723
206.19539,589,89.791886
177.09949,730,89.791982
261.9486,633,89.97232
201.65799,608,90.034835
